"date/time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","cpu process","memory process"
01-12 14:14:50,1.075,0.256,98.517,0.143,0.0,0.009,17085157376.0,458817536.0,21888131072.0,11128926208.0,14803.0,6945.117,0.0,15.767,java / 0%,java / 2682904576%
01-12 14:15:50,0.819,0.233,98.853,0.084,0.0,0.012,17085161472.0,458817536.0,21894148096.0,11122905088.0,14865.683,6884.133,0.0,9.0,java / 0%,java / 2682896384%
01-12 14:16:50,0.782,0.227,98.926,0.055,0.0,0.010,17084674048.0,458817536.0,21900095488.0,11117445120.0,14602.633,6487.967,0.0,7.583,java / 0%,java / 2682892288%
01-12 14:17:50,0.812,0.276,98.829,0.073,0.0,0.010,17085628416.0,458817536.0,21905776640.0,11110809600.0,14363.683,6568.517,0.0,7.800,java / 0%,java / 2682896384%
01-12 14:18:50,0.781,0.226,98.915,0.068,0.0,0.010,17085952000.0,458817536.0,21911842816.0,11104419840.0,14552.017,6528.333,0.0,8.067,java / 0%,java / 2682896384%
01-12 14:19:50,1.073,0.253,98.508,0.155,0.0,0.011,17090752512.0,458817536.0,21906132992.0,11105329152.0,14545.650,6487.350,0.0,14.983,java / 0%,java / 2682896384%
01-12 14:20:50,0.816,0.237,98.866,0.071,0.0,0.010,17090580480.0,458817536.0,21899677696.0,11111956480.0,15437.467,6934.783,0.0,8.350,java / 0%,java / 2682884096%
01-12 14:21:50,0.795,0.235,98.880,0.081,0.0,0.008,17120645120.0,458817536.0,21905616896.0,11075952640.0,14945.633,6540.733,0.0,8.217,java / 0%,java / 2682888192%
01-12 14:22:50,1.260,0.297,98.351,0.083,0.0,0.010,17157226496.0,458817536.0,21905522688.0,11039465472.0,15104.067,6485.017,0.0,8.600,java / 0%,java / 2682900480%
01-12 14:23:50,0.776,0.229,98.923,0.062,0.0,0.010,17157681152.0,458817536.0,21911474176.0,11033059328.0,14764.183,6943.550,0.0,8.167,java / 0%,java / 2682888192%
01-12 14:24:50,0.787,0.233,98.896,0.074,0.0,0.010,17157758976.0,458817536.0,21916344320.0,11028111360.0,15065.317,7075.267,0.0,9.600,java / 0%,java / 2682888192%
01-12 14:25:50,0.817,0.239,98.856,0.078,0.0,0.010,17159168000.0,458817536.0,21909549056.0,11033497600.0,14576.633,6835.117,0.0,9.133,java / 0%,java / 2682888192%
01-12 14:26:50,0.787,0.230,98.888,0.087,0.0,0.009,17155829760.0,458817536.0,21902860288.0,11043524608.0,14714.700,6583.950,0.0,8.500,java / 0%,java / 2682888192%
01-12 14:27:50,0.816,0.290,98.813,0.070,0.0,0.011,17158504448.0,458817536.0,21908799488.0,11034910720.0,31744.400,7632.433,0.0,7.667,java / 0%,java / 2682888192%
01-12 14:28:50,0.806,0.235,98.885,0.063,0.0,0.010,17157144576.0,458817536.0,21914742784.0,11030327296.0,15104.400,6985.667,0.0,8.667,java / 0%,java / 2682888192%
01-12 14:29:50,0.788,0.228,98.922,0.052,0.0,0.010,17157279744.0,458817536.0,21920428032.0,11024506880.0,14348.200,6466.800,0.0,9.950,java / 0%,java / 2682888192%
01-12 14:30:50,0.816,0.232,98.876,0.065,0.0,0.011,17155420160.0,458817536.0,21926862848.0,11019931648.0,32191.350,7413.517,0.0,8.350,java / 0%,java / 2682888192%
01-12 14:31:50,1.003,0.412,98.498,0.077,0.0,0.010,17169489920.0,458809344.0,21855326208.0,11077406720.0,14666.750,6774.933,0.0,8.700,java / 0%,java / 2682888192%
01-12 14:32:50,0.987,0.271,98.692,0.047,0.0,0.003,16727334912.0,458809344.0,21858258944.0,11516628992.0,11611.400,2547.350,0.0,5.533,java / 0%,java / 2682888192%
01-12 14:33:50,0.501,0.190,99.264,0.042,0.0,0.003,16727494656.0,458809344.0,21864284160.0,11510444032.0,11404.567,2316.050,0.0,5.517,java / 0%,java / 2682888192%
