"date/time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","cpu process","memory process"
01-12 14:54:50,0.561,0.193,99.200,0.042,0.0,0.003,16353214464.0,458797056.0,21443301376.0,12305719296.0,29280.550,498025.150,0.0,5.383,java / 0%,java / 2682949632%
01-12 14:55:50,0.583,0.194,99.181,0.038,0.0,0.003,16355323904.0,458797056.0,21436616704.0,12310294528.0,11472.950,2725.567,0.0,5.283,java / 0%,java / 2682961920%
01-12 14:56:50,0.533,0.187,99.249,0.028,0.0,0.003,16353046528.0,458797056.0,21430046720.0,12319141888.0,11742.567,2334.517,0.0,3.583,java / 0%,java / 2682961920%
01-12 14:57:50,0.568,0.241,99.151,0.035,0.0,0.003,16354283520.0,458797056.0,21426409472.0,12321542144.0,11320.533,2328.933,0.0,4.450,java / 0%,java / 2682961920%
01-12 14:58:50,0.530,0.198,99.224,0.044,0.0,0.003,16355172352.0,458797056.0,21431795712.0,12315267072.0,507358.083,15573.317,0.0,5.333,java / 0%,java / 2682961920%
01-12 14:59:50,0.615,0.196,99.140,0.045,0.0,0.005,16353230848.0,458801152.0,21438115840.0,12310884352.0,14134.867,37374.983,0.0,6.167,java / 0%,java / 2683203584%
01-12 15:00:50,0.597,0.203,99.158,0.035,0.0,0.007,16351809536.0,458801152.0,21443022848.0,12307398656.0,35169.317,1490012.333,0.0,4.633,java / 0%,java / 2683117568%
01-12 15:01:50,3.714,1.129,95.120,0.034,0.0,0.003,20888190976.0,458801152.0,21436182528.0,7777857536.0,12355.767,3595.700,0.0,4.667,java / 4%,java / 4391243776%
01-12 15:02:50,12.333,3.401,84.088,0.169,0.001,0.008,21321244672.0,458801152.0,21442072576.0,7338913792.0,26162.383,9864.933,0.0,20.083,java / 13%,java / 4733657088%
01-12 15:03:50,11.025,2.884,85.971,0.111,0.0,0.008,21382713344.0,458801152.0,21449969664.0,7269548032.0,26249.267,10963.217,0.0,8.783,java / 12%,java / 4767883264%
01-12 15:04:50,10.724,3.131,86.098,0.039,0.0,0.008,21408464896.0,458801152.0,21456003072.0,7237763072.0,26317.150,9518.350,0.0,5.883,java / 13%,java / 4778778624%
01-12 15:05:50,10.258,2.936,86.772,0.025,0.0,0.008,16366891008.0,458801152.0,21461811200.0,12273528832.0,22267.400,8060.183,0.0,4.133,java / 0%,java / 2682892288%
01-12 15:06:50,0.602,0.198,99.177,0.020,0.0,0.002,16356323328.0,458801152.0,21467791360.0,12278116352.0,12462.633,3499.567,0.0,3.500,java / 0%,java / 2682892288%
01-12 15:07:50,1.598,0.377,97.884,0.137,0.0,0.004,16362487808.0,458801152.0,21461950464.0,12277792768.0,12447.433,3758.717,0.0,15.283,java / 0%,java / 2682892288%
01-12 15:08:50,7.589,2.293,90.075,0.038,0.0,0.006,21046181888.0,458801152.0,21455458304.0,7600590848.0,17180.817,5283.267,0.0,5.667,java / 8%,java / 4484427776%
01-12 15:09:50,11.340,3.319,85.282,0.051,0.0,0.008,21289095168.0,458801152.0,21461221376.0,7351914496.0,26534.917,10258.500,0.0,5.850,java / 13%,java / 4704210944%
01-12 15:10:50,11.534,3.211,85.220,0.026,0.0,0.008,21385760768.0,458801152.0,21466947584.0,7249522688.0,26650.500,10194.133,0.0,3.867,java / 13%,java / 4760133632%
01-12 15:11:50,11.626,3.207,85.130,0.030,0.0,0.007,21428666368.0,458805248.0,21472985088.0,7200575488.0,26587.150,10432.050,0.0,4.233,java / 13%,java / 4775223296%
01-12 15:12:50,11.371,3.055,85.484,0.085,0.0,0.006,21443678208.0,458805248.0,21483028480.0,7175520256.0,26202.233,9560.217,0.0,9.667,java / 13%,java / 4779814912%
01-12 15:13:50,11.120,3.039,85.810,0.024,0.0,0.007,21530660864.0,458805248.0,21476245504.0,7095320576.0,26056.867,9548.450,0.0,4.933,java / 13%,java / 4850892800%
01-12 15:14:50,10.989,3.145,85.808,0.049,0.0,0.008,21556383744.0,458805248.0,21469515776.0,7076327424.0,26074.300,9477.0,0.0,5.717,java / 13%,java / 4851101696%
01-12 15:15:50,10.883,3.096,85.986,0.028,0.0,0.007,21560410112.0,458805248.0,21475352576.0,7066464256.0,26105.333,9884.383,0.0,4.967,java / 13%,java / 4851269632%
01-12 15:16:50,10.839,3.095,86.038,0.020,0.0,0.008,21564280832.0,458805248.0,21472030720.0,7065915392.0,25962.700,9473.883,0.0,3.883,java / 13%,java / 4850905088%
01-12 15:17:50,11.128,3.251,85.594,0.022,0.0,0.006,21256712192.0,458805248.0,21479419904.0,7366094848.0,25825.533,9488.150,0.0,3.800,java / 13%,java / 4832305152%
01-12 15:18:50,1.438,0.520,98.013,0.025,0.0,0.004,16359596032.0,458805248.0,21485379584.0,12257251328.0,12711.683,3746.933,0.0,4.200,java / 0%,java / 2682892288%
01-12 15:19:50,4.884,1.398,93.662,0.052,0.0,0.003,20849963008.0,458805248.0,21478400000.0,7773863936.0,11277.717,3257.150,0.0,6.467,java / 4%,java / 4431552512%
