"date/time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","cpu process","memory process"
25-11 02:03:34,3.081,0.700,95.911,0.290,0.0,0.017,16349360128.0,439472128.0,21816553472.0,11955646464.0,18640.0,13694.883,0.017,28.183,java / 1%,java / 2681962496%
25-11 02:04:34,1.643,0.649,97.580,0.109,0.0,0.019,16355835904.0,439472128.0,21814464512.0,11951259648.0,18750.617,13871.133,0.0,13.750,java / 0%,java / 2681962496%
25-11 02:05:34,1.565,0.626,97.696,0.093,0.0,0.020,16347127808.0,439484416.0,21820076032.0,11954343936.0,19042.983,13847.083,0.0,11.917,java / 0%,java / 2681962496%
25-11 02:06:34,1.560,0.654,97.678,0.089,0.0,0.019,16360185856.0,439500800.0,21826957312.0,11934388224.0,18358.717,13279.767,0.0,11.767,java / 0%,java / 2681962496%
25-11 02:07:34,1.564,0.646,97.657,0.116,0.0,0.017,16350711808.0,439513088.0,21820502016.0,11950305280.0,18861.867,13919.017,0.0,11.933,java / 0%,java / 2681962496%
25-11 02:08:34,1.631,0.711,97.544,0.096,0.0,0.018,16391016448.0,439529472.0,21718921216.0,12011565056.0,18502.400,13433.950,0.0,12.333,java / 0%,java / 2681962496%
25-11 02:09:34,1.622,0.628,97.600,0.131,0.0,0.018,16374214656.0,439545856.0,21711949824.0,12035321856.0,18599.650,13712.717,0.0,13.800,java / 0%,java / 2682007552%
25-11 02:10:34,1.526,0.638,97.704,0.113,0.0,0.020,16350941184.0,439558144.0,21718343680.0,12052189184.0,18753.117,13879.683,0.0,12.167,java / 0%,java / 2682015744%
25-11 02:11:34,1.590,0.650,97.653,0.089,0.0,0.018,16362512384.0,439574528.0,21723951104.0,12034994176.0,18596.483,13680.383,0.0,11.250,java / 0%,java / 2682015744%
25-11 02:12:34,1.557,0.645,97.681,0.098,0.0,0.020,16360882176.0,439586816.0,21730963456.0,12029599744.0,18766.200,13835.233,0.0,11.750,java / 0%,java / 2682015744%
25-11 02:13:34,2.289,0.703,96.826,0.161,0.0,0.021,16359288832.0,439603200.0,21729320960.0,12032819200.0,18730.667,13879.0,0.017,20.750,java / 0%,java / 2682003456%
25-11 02:14:34,1.626,0.655,97.573,0.127,0.0,0.019,16355160064.0,439619584.0,21735415808.0,12030836736.0,18621.467,13655.317,0.0,13.683,java / 0%,java / 2682011648%
25-11 02:15:34,1.600,0.638,97.633,0.109,0.0,0.020,16341811200.0,439635968.0,21727649792.0,12051935232.0,18638.900,13453.083,0.0,11.783,java / 0%,java / 2682023936%
25-11 02:16:34,1.555,0.651,97.686,0.088,0.0,0.019,16357519360.0,439652352.0,21734035456.0,12029825024.0,18791.483,13751.967,0.0,11.950,java / 0%,java / 2681978880%
25-11 02:17:34,1.565,0.639,97.670,0.109,0.0,0.017,16349896704.0,439668736.0,21739507712.0,12031959040.0,18570.400,13497.300,0.0,11.983,java / 0%,java / 2682023936%
