"date/time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","cpu process","memory process"
01-12 21:37:39,0.126,0.050,99.812,0.012,0.0,0.001,1890680832.0,218800128.0,3652526080.0,10911170560.0,2797.633,7115.500,0.0,1.683,java / 0%,java / 716173312%
01-12 21:38:40,0.140,0.052,99.792,0.016,0.0,0.0,1889292288.0,218800128.0,3652538368.0,10912546816.0,2816.967,7115.667,0.0,1.633,java / 0%,java / 716169216%
01-12 21:39:40,0.124,0.054,99.808,0.014,0.0,0.001,1888919552.0,218800128.0,3652550656.0,10912907264.0,2847.500,7162.067,0.0,1.917,java / 0%,java / 716169216%
01-12 21:40:40,0.136,0.056,99.792,0.017,0.0,0.0,1889882112.0,218800128.0,3652591616.0,10911903744.0,3238.183,7334.750,0.0,2.067,java / 0%,java / 716173312%
01-12 21:41:40,0.120,0.046,99.819,0.015,0.0,0.0,1891037184.0,218800128.0,3652599808.0,10910740480.0,2761.117,6613.450,0.0,1.767,java / 0%,java / 716173312%
01-12 21:42:40,0.138,0.056,99.790,0.016,0.0,0.0,1891901440.0,218800128.0,3652612096.0,10909863936.0,2823.100,7163.033,0.0,1.783,java / 0%,java / 716173312%
01-12 21:43:40,0.122,0.049,99.811,0.017,0.0,0.001,1889972224.0,218800128.0,3652624384.0,10911780864.0,2798.067,7115.383,0.0,1.900,java / 0%,java / 716169216%
01-12 21:44:40,0.133,0.053,99.798,0.017,0.0,0.0,1890406400.0,218800128.0,3652644864.0,10911326208.0,2839.150,7114.850,0.0,1.917,java / 0%,java / 716169216%
01-12 21:45:40,0.126,0.050,99.810,0.013,0.0,0.0,1889837056.0,218800128.0,3652677632.0,10911862784.0,3230.167,7304.583,0.0,1.950,java / 0%,java / 716173312%
01-12 21:46:39,0.130,0.056,99.795,0.018,0.0,0.0,1889546240.0,218800128.0,3652685824.0,10912145408.0,2813.383,7124.867,0.0,1.717,java / 0%,java / 716173312%
01-12 21:47:39,0.126,0.051,99.808,0.014,0.0,0.001,1890553856.0,218800128.0,3652698112.0,10911125504.0,2830.583,7147.033,0.0,1.550,java / 0%,java / 716173312%
01-12 21:48:40,0.138,0.055,99.791,0.016,0.0,0.001,1891082240.0,218800128.0,3652714496.0,10910580736.0,2969.183,7132.233,0.0,1.883,java / 0%,java / 716173312%
01-12 21:49:40,0.123,0.052,99.808,0.017,0.0,0.0,1889521664.0,218800128.0,3652726784.0,10912129024.0,2805.033,7106.533,0.0,1.867,java / 0%,java / 716169216%
01-12 21:50:40,0.136,0.056,99.792,0.015,0.0,0.0,1890500608.0,218800128.0,3652763648.0,10911113216.0,3200.950,7289.867,0.0,2.267,java / 0%,java / 716173312%
01-12 21:51:40,0.122,0.050,99.812,0.015,0.0,0.0,1889902592.0,218800128.0,3652775936.0,10911698944.0,2826.650,7135.300,0.0,1.750,java / 0%,java / 716173312%
01-12 21:52:40,0.137,0.052,99.799,0.011,0.0,0.001,1890377728.0,218800128.0,3652792320.0,10911207424.0,2815.800,7116.050,0.0,1.583,java / 0%,java / 716173312%
01-12 21:53:40,0.120,0.051,99.814,0.015,0.0,0.0,1889914880.0,218800128.0,3652804608.0,10911657984.0,2831.783,7156.283,0.0,1.767,java / 0%,java / 716173312%
01-12 21:54:40,0.133,0.054,99.796,0.017,0.0,0.0,1888886784.0,218800128.0,3652816896.0,10912673792.0,2855.117,7170.417,0.0,1.817,java / 0%,java / 716173312%
01-12 21:55:40,0.139,0.050,99.798,0.012,0.0,0.001,1889382400.0,218800128.0,3652845568.0,10912149504.0,3198.633,7286.550,0.0,1.983,java / 0%,java / 716177408%
01-12 21:56:40,0.129,0.050,99.812,0.009,0.0,0.0,1889898496.0,218800128.0,3652861952.0,10911617024.0,2835.433,7165.700,0.0,1.817,java / 0%,java / 716177408%
01-12 21:57:40,0.133,0.055,99.803,0.008,0.0,0.001,1889996800.0,218800128.0,3652874240.0,10911506432.0,2815.567,7121.283,0.0,1.683,java / 0%,java / 716177408%
01-12 21:58:40,0.135,0.059,99.797,0.009,0.0,0.0,1888555008.0,218800128.0,3652886528.0,10912935936.0,2803.367,7111.933,0.0,1.550,java / 0%,java / 716177408%
01-12 21:59:40,0.126,0.051,99.808,0.014,0.0,0.001,1889370112.0,218800128.0,3652898816.0,10912108544.0,2834.067,7188.833,0.0,1.750,java / 0%,java / 716173312%
01-12 22:00:40,0.138,0.058,99.781,0.023,0.0,0.0,1889558528.0,218800128.0,3652943872.0,10911875072.0,3260.233,7375.600,0.0,2.383,java / 0%,java / 716177408%
01-12 22:01:40,0.122,0.056,99.807,0.016,0.0,0.0,1889656832.0,218800128.0,3652952064.0,10911768576.0,2954.350,7111.467,0.0,1.733,java / 0%,java / 716177408%
01-12 22:02:40,0.132,0.054,99.802,0.011,0.0,0.001,1889906688.0,218800128.0,3652964352.0,10911506432.0,2832.333,7154.717,0.0,1.650,java / 0%,java / 716177408%
01-12 22:03:40,0.124,0.052,99.814,0.010,0.0,0.0,1889828864.0,218800128.0,3652976640.0,10911571968.0,2814.217,7119.167,0.0,1.650,java / 0%,java / 716177408%
01-12 22:04:40,0.128,0.058,99.805,0.009,0.0,0.0,1890836480.0,218800128.0,3652993024.0,10910547968.0,2812.300,7120.150,0.0,1.600,java / 0%,java / 716173312%
01-12 22:05:40,0.126,0.051,99.812,0.011,0.0,0.001,1891274752.0,218800128.0,3653021696.0,10910081024.0,3321.933,7349.783,0.0,2.0,java / 0%,java / 716177408%
