"date/time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","cpu process","memory process"
05-12 05:26:47,0.203,0.070,99.712,0.015,0.0,0.0,2238787584.0,190689280.0,224952320.0,14018748416.0,8891.350,10038.400,0.0,1.650,java / 0%,java / 610467840%
05-12 05:27:47,0.165,0.076,99.743,0.015,0.0,0.001,2238902272.0,190697472.0,224960512.0,14018617344.0,9335.133,10397.567,0.0,1.883,agent.py / 0%,java / 610988032%
05-12 05:28:47,0.149,0.067,99.768,0.015,0.0,0.0,2238521344.0,190701568.0,224952320.0,14019002368.0,9341.983,10385.400,0.0,1.650,agent.py / 0%,java / 610975744%
05-12 05:29:47,0.166,0.070,99.753,0.010,0.0,0.0,2240413696.0,190701568.0,224952320.0,14017110016.0,8872.817,10004.0,0.0,1.483,agent.py / 0%,java / 610791424%
05-12 05:30:47,0.158,0.070,99.755,0.017,0.0,0.001,2238025728.0,190701568.0,224964608.0,14019485696.0,8890.500,10037.567,0.0,1.683,agent.py / 0%,java / 610791424%
05-12 05:31:47,0.181,0.072,99.731,0.015,0.0,0.0,2239275008.0,190701568.0,224964608.0,14018236416.0,8945.967,10058.583,0.0,1.883,agent.py / 0%,java / 610594816%
05-12 05:32:47,0.161,0.069,99.760,0.010,0.0,0.0,2237317120.0,190701568.0,224964608.0,14020194304.0,8867.067,9984.850,0.0,1.217,agent.py / 0%,java / 610648064%
05-12 05:33:47,0.160,0.070,99.757,0.013,0.0,0.0,2240425984.0,190701568.0,224964608.0,14017085440.0,8849.183,9995.050,0.0,1.667,agent.py / 0%,java / 610648064%
05-12 05:34:47,0.158,0.068,99.759,0.015,0.0,0.0,2238541824.0,190701568.0,224964608.0,14018969600.0,8911.283,10057.517,0.0,1.583,agent.py / 0%,java / 610717696%
05-12 05:35:47,0.168,0.072,99.746,0.013,0.0,0.001,2238611456.0,190709760.0,224968704.0,14018887680.0,8931.850,9986.317,0.0,1.883,agent.py / 0%,java / 610660352%
05-12 05:36:47,0.157,0.068,99.760,0.015,0.0,0.0,2239037440.0,190709760.0,224976896.0,14018453504.0,8906.300,10066.267,0.0,1.333,agent.py / 0%,java / 610660352%
05-12 05:37:47,0.165,0.072,99.750,0.013,0.0,0.0,2240839680.0,190722048.0,224976896.0,14016638976.0,9372.917,10402.700,0.0,1.833,agent.py / 0%,java / 610697216%
05-12 05:38:47,0.163,0.063,99.759,0.013,0.0,0.001,2239987712.0,190722048.0,224976896.0,14017490944.0,8879.217,10037.067,0.0,1.733,agent.py / 0%,java / 610631680%
05-12 05:39:47,0.160,0.068,99.762,0.010,0.0,0.0,2240630784.0,190722048.0,224980992.0,14016843776.0,8922.0,10045.183,0.0,1.467,agent.py / 0%,java / 610631680%
05-12 05:40:47,0.152,0.069,99.763,0.017,0.0,0.0,2240208896.0,190730240.0,224985088.0,14017253376.0,8893.583,10050.417,0.0,1.817,agent.py / 0%,java / 610656256%
05-12 05:41:47,0.166,0.070,99.750,0.013,0.0,0.0,2240647168.0,190730240.0,225017856.0,14016782336.0,8931.250,10028.333,0.0,1.867,agent.py / 0%,java / 610721792%
05-12 05:42:47,0.154,0.072,99.759,0.015,0.0,0.0,2239102976.0,190730240.0,225021952.0,14018322432.0,8881.433,10041.050,0.0,1.683,agent.py / 0%,java / 610721792%
05-12 05:43:47,0.161,0.071,99.755,0.013,0.0,0.001,2240221184.0,190730240.0,224989184.0,14017236992.0,9334.917,10351.117,0.0,1.517,agent.py / 0%,java / 610742272%
05-12 05:44:47,0.153,0.068,99.769,0.010,0.0,0.0,2240413696.0,190730240.0,224956416.0,14017077248.0,9310.783,10378.500,0.0,1.483,agent.py / 0%,java / 610738176%
05-12 05:45:47,0.161,0.072,99.756,0.011,0.0,0.0,2240749568.0,190734336.0,224989184.0,14016704512.0,8949.333,10082.650,0.0,1.783,agent.py / 0%,java / 611094528%
05-12 05:46:47,0.160,0.069,99.758,0.013,0.0,0.0,2240544768.0,190738432.0,224993280.0,14016901120.0,9330.467,10377.750,0.0,1.400,agent.py / 0%,java / 610598912%
05-12 05:47:47,0.170,0.072,99.746,0.011,0.0,0.001,2242220032.0,190738432.0,224960512.0,14015258624.0,8892.183,10048.050,0.0,1.817,agent.py / 0%,java / 610639872%
05-12 05:48:47,0.154,0.070,99.764,0.012,0.0,0.0,2240110592.0,190738432.0,224993280.0,14017335296.0,8906.950,10041.150,0.0,1.683,agent.py / 0%,java / 610729984%
05-12 05:49:47,0.160,0.072,99.755,0.012,0.0,0.001,2242387968.0,190738432.0,224997376.0,14015053824.0,8892.950,10039.567,0.0,1.933,agent.py / 0%,java / 610689024%
05-12 05:50:47,0.156,0.067,99.764,0.014,0.0,0.0,2241130496.0,190738432.0,224976896.0,14016331776.0,8919.050,10053.400,0.0,1.533,agent.py / 0%,java / 610668544%
05-12 05:51:47,0.174,0.074,99.742,0.010,0.0,0.0,2241515520.0,190746624.0,225013760.0,14015901696.0,8922.633,10067.483,0.0,1.833,agent.py / 0%,java / 610721792%
05-12 05:52:47,0.158,0.066,99.771,0.006,0.0,0.0,2239066112.0,190746624.0,225017856.0,14018347008.0,9327.783,10377.517,0.0,1.733,agent.py / 0%,java / 610709504%
05-12 05:53:47,0.165,0.068,99.755,0.012,0.0,0.0,2241122304.0,190746624.0,224985088.0,14016323584.0,9354.350,10410.483,0.0,1.617,agent.py / 0%,java / 610725888%
05-12 05:54:47,0.157,0.069,99.766,0.007,0.0,0.001,2240299008.0,190746624.0,225017856.0,14017114112.0,8909.967,9999.583,0.0,1.600,agent.py / 0%,java / 611127296%
05-12 05:55:47,0.153,0.073,99.765,0.009,0.0,0.0,2241142784.0,190746624.0,225017856.0,14016270336.0,8904.833,10059.850,0.0,1.633,agent.py / 0%,java / 611184640%
05-12 05:56:47,0.161,0.064,99.764,0.011,0.0,0.0,2239234048.0,190746624.0,225062912.0,14018134016.0,9353.833,10397.167,0.0,1.700,agent.py / 0%,java / 611135488%
05-12 05:57:47,0.166,0.069,99.751,0.013,0.0,0.001,2241101824.0,190754816.0,225021952.0,14016299008.0,8896.950,9983.133,0.0,1.583,agent.py / 0%,java / 611160064%
05-12 05:58:47,0.154,0.070,99.764,0.013,0.0,0.0,2239365120.0,190763008.0,225054720.0,14017994752.0,8879.267,10049.617,0.0,1.450,agent.py / 0%,java / 610766848%
05-12 05:59:47,0.167,0.070,99.749,0.014,0.0,0.0,2241904640.0,190767104.0,225026048.0,14015479808.0,8932.383,10054.583,0.0,1.733,agent.py / 0%,java / 610820096%
05-12 06:00:47,0.157,0.066,99.761,0.016,0.0,0.0,2240012288.0,190767104.0,225042432.0,14017355776.0,9327.833,10396.883,0.0,1.667,agent.py / 0%,java / 611246080%
05-12 06:01:47,0.166,0.075,99.745,0.014,0.0,0.001,2241232896.0,190767104.0,225046528.0,14016131072.0,8897.150,10012.667,0.0,1.917,agent.py / 0%,java / 611872768%
