"date/time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","cpu process","memory process"
06-12 02:16:40,0.140,0.054,99.792,0.014,0.0,0.001,1899057152.0,218918912.0,3751006208.0,10804195328.0,2806.300,7223.983,0.0,1.683,java / 0%,java / 717041664%
06-12 02:17:40,0.137,0.054,99.800,0.010,0.0,0.0,1899012096.0,218918912.0,3751018496.0,10804228096.0,2803.333,7223.967,0.0,1.800,java / 0%,java / 717045760%
06-12 02:18:40,0.144,0.059,99.785,0.011,0.0,0.001,1899814912.0,218918912.0,3751034880.0,10803408896.0,2811.367,7228.450,0.0,1.567,java / 0%,java / 717045760%
06-12 02:19:40,0.137,0.055,99.800,0.008,0.0,0.0,1898790912.0,218918912.0,3751047168.0,10804420608.0,2806.767,7222.917,0.0,1.767,java / 0%,java / 717041664%
06-12 02:20:40,0.134,0.058,99.792,0.015,0.0,0.0,1898782720.0,218918912.0,3751079936.0,10804396032.0,3207.950,7418.633,0.0,2.300,java / 0%,java / 717045760%
06-12 02:21:40,0.135,0.054,99.798,0.012,0.0,0.001,1899057152.0,218918912.0,3751100416.0,10804101120.0,2890.050,7265.600,0.0,1.733,java / 0%,java / 717041664%
06-12 02:22:40,0.142,0.056,99.794,0.009,0.0,0.0,1900163072.0,218918912.0,3751133184.0,10802962432.0,3181.017,7436.233,0.0,2.450,java / 0%,java / 717041664%
06-12 02:23:39,0.142,0.055,99.793,0.010,0.0,0.0,1900187648.0,218918912.0,3751145472.0,10802925568.0,2837.117,7255.400,0.0,1.833,java / 0%,java / 717045760%
06-12 02:24:40,0.137,0.054,99.796,0.012,0.0,0.001,1898668032.0,218918912.0,3751161856.0,10804428800.0,2839.067,7274.383,0.0,1.817,java / 0%,java / 717045760%
06-12 02:25:40,0.122,0.051,99.812,0.015,0.0,0.001,1899241472.0,218918912.0,3751194624.0,10803822592.0,3226.050,7419.483,0.0,2.167,java / 0%,java / 717045760%
06-12 02:26:39,0.131,0.055,99.800,0.013,0.0,0.0,1898049536.0,218918912.0,3751202816.0,10805006336.0,2725.633,7155.050,0.0,1.617,java / 0%,java / 717041664%
06-12 02:27:40,0.135,0.051,99.801,0.012,0.0,0.0,1899536384.0,218918912.0,3751223296.0,10803499008.0,2901.483,7278.950,0.0,1.900,java / 0%,java / 717041664%
06-12 02:28:40,0.139,0.061,99.777,0.022,0.0,0.001,1898049536.0,218918912.0,3751243776.0,10804965376.0,8587.050,11705.150,0.0,2.383,java / 0%,java / 717045760%
06-12 02:29:40,0.129,0.050,99.808,0.012,0.0,0.001,1898643456.0,218918912.0,3751256064.0,10804359168.0,2835.067,7281.083,0.0,1.550,java / 0%,java / 717045760%
06-12 02:30:40,0.132,0.056,99.790,0.022,0.0,0.001,1898340352.0,218918912.0,3751292928.0,10804625408.0,3213.967,7449.033,0.0,2.500,java / 0%,java / 717045760%
06-12 02:31:40,0.118,0.051,99.819,0.012,0.0,0.0,1897472000.0,218918912.0,3751305216.0,10805481472.0,2813.217,7228.050,0.0,1.683,java / 0%,java / 717041664%
06-12 02:32:40,0.141,0.064,99.786,0.009,0.0,0.0,1898782720.0,218918912.0,3751317504.0,10804158464.0,2822.350,7260.200,0.0,1.533,java / 0%,java / 717041664%
06-12 02:33:40,0.124,0.056,99.807,0.012,0.0,0.001,1899274240.0,218918912.0,3751333888.0,10803650560.0,2804.950,7226.933,0.0,1.867,java / 0%,java / 717045760%
06-12 02:34:39,0.138,0.059,99.790,0.013,0.0,0.0,1899159552.0,218918912.0,3751342080.0,10803757056.0,2790.983,6878.450,0.0,1.667,java / 0%,java / 717045760%
06-12 02:35:40,0.124,0.056,99.802,0.017,0.0,0.001,1899278336.0,218918912.0,3751374848.0,10803605504.0,3293.950,7406.533,0.0,2.267,java / 0%,java / 717045760%
06-12 02:36:40,0.133,0.055,99.801,0.011,0.0,0.0,1899433984.0,218918912.0,3751387136.0,10803437568.0,2817.733,7238.450,0.0,1.700,java / 0%,java / 717041664%
06-12 02:37:40,0.134,0.049,99.798,0.017,0.0,0.001,1899036672.0,218918912.0,3751403520.0,10803818496.0,2821.183,7258.867,0.0,1.433,java / 0%,java / 717041664%
06-12 02:38:40,0.133,0.058,99.796,0.013,0.0,0.0,1899720704.0,218918912.0,3751411712.0,10803126272.0,2801.633,7220.817,0.0,1.817,java / 0%,java / 717045760%
06-12 02:39:40,0.119,0.051,99.822,0.008,0.0,0.0,1899786240.0,218918912.0,3751424000.0,10803048448.0,2819.833,7236.0,0.0,1.533,java / 0%,java / 717045760%
06-12 02:40:40,0.141,0.059,99.784,0.015,0.0,0.001,1900298240.0,218918912.0,3751469056.0,10802491392.0,3243.983,7447.783,0.0,2.533,java / 0%,java / 717045760%
